"﻿AppName","ApplicationType","BusinessCatalogName","BusinessGroupName","BusinessGroupDescription","BusinessRoleName","BusinessRoleDescription","BSPName"
"Display Migrated Transactions for Deletion - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Delete Migrated Asset Transaction - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Add Asset Transaction as Migration - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Delete Last Years Migrated Asset Data - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Migrate Last Years Asset Data - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Migrate Last Years Asset Data - XML - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Profit Center Assignment Monitor","GUI","SAP_SFIN_BC_CO_MD_PCA","SAP_SFIN_BCG_GL_MASTDATA,SAP_SFIN_BCG_CO_MD","Master Data,Controlling - Master Data","SAP_BR_CONTROLLER, SAP_BR_GL_ACCOUNTANT","Controller, General Ledger Accountant",""
"Profit Center Assignment Monitor","GUI","  SAP_SFIN_BC_GL_MASTER_DATA","SAP_SFIN_BCG_GL_MASTDATA,SAP_SFIN_BCG_CO_MD","Master Data,Controlling - Master Data","SAP_BR_CONTROLLER, SAP_BR_GL_ACCOUNTANT","Controller, General Ledger Accountant",""
"Reverse Line Items","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Asset Unplanned Depreciation","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Post Asset Sale - Without Customer","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Post Asset Retirement - By Scrapping","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Asset Revaluation","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Credit Memo previous Year","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
