"AppName","ApplicationType","BusinessCatalogName","BusinessGroupName","BusinessGroupDescription","BusinessRoleName","BusinessRoleDescription","LeadingTransactionCodes"
"AIF Configuration","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/CUST"
"Error Handling Changes Log","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/EDCHANGES"
"Interface Builder","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/IFB"
"Interface Monitor","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/IFMON"
"Interface Test Tool","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/IFTEST"
"Upload File","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/LFA_UPLOAD_FILE"
"Recipients of Current User","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/MYRECIPIENTS"
"Recipients of a User","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/RECIPIENTS"
"Value Mapping","GUI","SAP_CA_BC_COM","SAP_CA_BCG_COM","Communication Management - Message Monitoring","SAP_BR_ADMINISTRATOR","Administrator","/AIF/VMAP"
"Message Dashboard - SAP AIF","FPM/WebDynpro","","","","","","/AIFX/WDA_MSG_MONITOR (/AIFX/WDAC_MSG_MONITOR)"
"Process Investment Grant - Israel","GUI","","","","","","/ATL/A10"
"Useful-Life Calculation - Israel","GUI","","","","","","/ATL/A15"
"Save Periodic Values - Israel","GUI","","","","","","/ATL/A16"
"Process Last Posting Periods - Israel","GUI","","","","","","/ATL/A17"
"Calculate Base Index - Israel","GUI","","","","","","/ATL/A20"
"Execute Investment Center Approval Document - Israel","GUI","","","","","","/ATL/AA_APR_DOC"
"Process Investment Center Progress Report - Israel","GUI","","","","","","/ATL/AA_ICR"
"Process Book Depreciation - Israel","GUI","","","","","","/ATL/BOOKD"
"Calculate Book Capital Gain - Israel","GUI","","","","","","/ATL/BOOKG"
"Updated Residues For Bank Account Number - Israel","GUI","","","","","","/ATL/CHCKUPD_RES"
"Export 6111 File - Israel","GUI","","","","","","/ATL/F6111_EXPORT"
"Import G/L Amounts to Form 6111 - Israel","GUI","","","","","","/ATL/F6111_IMPORT"
"Upload Form 6111 - Israel","GUI","","","","","","/ATL/F6111_INPUT"
"Form 6111 Field Mapping - Israel","GUI","","","","","","/ATL/F6111_MANAGE"
"Define Foreclosures Master Data - Israel","GUI","","","","","","/ATL/FOREC"
"Update Paid Amount for Foreclosures - Israel","GUI","","","","","","/ATL/FORUPD"
"Import Index Value - Israel","GUI","","","","","","/ATL/GLVA"
"Classified Assets for Investment Grant - Israel","GUI","","","","","","/ATL/IC_CLASS"
"Process Investment Plan Report - Israel","GUI","","","","","","/ATL/IC_PAR"
"Return Payments - Israel","GUI","","","","","","/ATL/KP02"
"Bank Payment Return - Israel","GUI","","","","","","/ATL/KP03"
"Cashier Balances Report - Israel","GUI","","","","","","/ATL/KP07"
"Declare Cashier Amounts - Israel","GUI","","","","","","/ATL/KP08"
"Check Report - Israel","GUI","","","","","","/ATL/KP09"
"Credit Card Report - Israel","GUI","","","","","","/ATL/KP10"
"Print Payment Receipt - Israel","GUI","","","","","","/ATL/KP15"
"Cash Payments Transfer - Israel","GUI","","","","","","/ATL/KP17"
"Bank Deposit of Cash Payments - Israel","GUI","","","","","","/ATL/KP18"
"Transfer Deferred Cheque - Israel","GUI","","","","","","/ATL/KP19"
"Cashing Deferred Checks - Israel","GUI","","","","","","/ATL/KP20"
"Create Files for Banks - Israel","GUI","","","","","","/ATL/KP22"
"Payment Transfer - Israel","GUI","","","","","","/ATL/KP23"
"Bank Deposit of Deferred Cheque - Israel","GUI","","","","","","/ATL/KP24"
"Deposit of Credit Card - Israel","GUI","","","","","","/ATL/KP25"
"Payment Transfer and Bank Deposit Report - Israel","GUI","","","","","","/ATL/KP26"
"Update Bank Deposit Payments - Israel","GUI","","","","","","/ATL/KP27"
"Incoming Payment Entry - Israel","GUI","","","","","","/ATL/KP28"
"Create Restricted Accounts - Israel","GUI","","","","","","/ATL/KP31"
"Change Restricted Accounts - Israel","GUI","","","","","","/ATL/KP32"
"Restricted Account Transactions Report - Israel","GUI","","","","","","/ATL/KP33"
"Delete Restricted Accounts - Israel","GUI","","","","","","/ATL/KP34"
"Cash Statement - Israel","GUI","","","","","","/ATL/KP38"
"Daily Cash Balances - Israel","GUI","","","","","","/ATL/KP39"
"Bank Deposit of Cheque Payment - Israel","GUI","","","","","","/ATL/KP41"
"Cash Transactions Report - Israel","GUI","","","","","","/ATL/KP42"
"Restore a Receipt - Israel","GUI","","","","","","/ATL/KP43"
"Reverse Check Payment - Israel","GUI","","","","","","/ATL/KP44"
"Bank Master Data Upload - Israel","GUI","","","","","","/ATL/LBNKA_LOAD"
"Create VAT File - Israel","GUI","","","","","","/ATL/PCN874"
"Process Positive and Negative Postings - Israel","GUI","","","","","","/ATL/PNCH"
"Revaluate Assets - Israel","GUI","","","","","","/ATL/REV"
"Spell amount example - Israel","GUI","","","","","","/ATL/SPELL_AMOUNT"
"Process Supplementary Depreciation - Israel","GUI","","","","","","/ATL/SUPD"
"Process Tax Depreciation - Israel","GUI","","","","","","/ATL/TAXD"
"Process Capital Gains - Israel","GUI","","","","","","/ATL/TAXG"
"Process Tax Reserves in USD - Israel","GUI","","","","","","/ATL/TAXU"
"Generate Teken-19 - Israel","GUI","","","","","","/ATL/TEKEN_19"
"Process Tax Reserves Report - Israel","GUI","","","","","","/ATL/TRES"
"Build Uniform Files - Israel","GUI","","","","","","/ATL/UNIFILES"
"Transfer unifiles server => cliient. - Israel","GUI","","","","","","/ATL/UNIFILES_UTIL"
"Upload data into customizing tables - Israel","GUI","","","","","","/ATL/UPLOAD_CUSTTAB"
"Withholding Tax Report - Israel","GUI","","","","","","/ATL/VK01_46"
"Mass Update - Vendors Master Data - Israel","GUI","","","","","","/ATL/VK02"
"Update Classical Withholding Tax Codes - Israel","GUI","","","","","","/ATL/VK03"
"Update Extended Withholding Tax Codes - Israel","GUI","","","","","","/ATL/VK04"
"Vendors File to Shaam - Israel","GUI","","","","","","/ATL/VQ22"
"Vendors File from Shaam - Israel","GUI","","","","","","/ATL/VQ23"
"Execute Witholding Tax Return - Invoice - Israel","GUI","","","","","","/ATL/VQZ11"
"Update Previous WHT Code - Classical - Israel","GUI","","","","","","/ATL/VQZ12"
"Update Expired Tax Codes - Classic - Israel","GUI","","","","","","/ATL/VQZ2"
"Change Withholding Tax Recipient Types - Israel","GUI","","","","","","/ATL/VQZ5"
"Handle VAT and Withholding Tax Files - Israel","GUI","","","","","","/ATL/VQZ9"
"Calculate Tax Depreciation - Bulgaria","GUI","","","","","","/BGLOCS/FI_AA01"
"Calculate Book Depreciation - Bulgaria","GUI","","","","","","/BGLOCS/FI_AA02"
"Generate Cash Flow Statement - Bulgaria","GUI","","","","","","/BGLOCS/FI_CFSREP_BG"
"Process Fixed Assets - Bulgaria","GUI","","","","","","/BGLOCS/FI_FXR"
"Create EC Sales List in DME Format - Bulgaria","GUI","","","","","","/BGLOCS/FI_VIES"
"Prepare Material Trial Balance - Bulgaria","GUI","","","","","","/BGLOCS/MAT_TRB"
"Manage Business Data - Croatia","GUI","SAP_SD_BC_FISCALIZATION_HR","SAP_SD_BCG_FISCALIZATION_HR","Fiscalization","SAP_BR_BILLING_CLERK_HR","Billing Clerk for Croatia","/CCEE/FISCBS"
"Display Communication Logs - Croatia","GUI","SAP_SD_BC_FISCALIZATION_HR","SAP_SD_BCG_FISCALIZATION_HR","Fiscalization","SAP_BR_BILLING_CLERK_HR","Billing Clerk for Croatia","/CCEE/FISCLOG"
"Manage Billing Documents - Croatia","GUI","SAP_SD_BC_FISCALIZATION_HR","SAP_SD_BCG_FISCALIZATION_HR","Fiscalization","SAP_BR_BILLING_CLERK_HR","Billing Clerk for Croatia","/CCEE/FISCSENDINV"
"Define Number Ranges - Croatia","GUI","","","","","","/CCEE/FISC_NR"
"Create EC Sales and Purchases List - Croatia","GUI","","","","","","/CCEE/HRFI_EC"
"Generate BST Reports - Slovenia","GUI","","","","","","/CCEE/SIFI_BST"
"Generate SVR Forms - Slovenia","GUI","","","","","","/CCEE/SIFI_SFR"
"Generate SKV Forms - Slovenia","GUI","","","","","","/CCEE/SIFI_SKV"
"Prepare Balance Sheets - Estonia","GUI","","","","","","/CEECV/BEFI_BAL"
"Prepare Profit and Loss Statements - Estonia","GUI","","","","","","/CEECV/BEFI_PLSTA"
"Create Invoice Register - Lithuania","GUI","","","","","","/CEECV/BTFI_INV_REG"
"Prepare Cash Journal - Romania","GUI","","","","","","/CEECV/ROFI06"
"Generate Balance Sheet and PL Statements - Russia","GUI","","","","","","/CEECV/ROFI08"
"Create Asset History Sheets - Romania","GUI","","","","","","/CEECV/ROFI09"
"Print Cash Receipts - Romania","GUI","","","","","","/CEECV/ROFI12"
"Create Asset Charts - Romania","GUI","","","","","","/CEECV/ROFI15"
"List Vendor Line Items - Romania","GUI","","","","","","/CEECV/ROFI17"
"Generate Export Financial Statements - Romania","GUI","","","","","","/CEECV/ROFI19"
"Process VIES 394 Files - Romania, Merge VIES 394 Files - Romania","GUI","","","","","","/CEECV/ROFI_MERGE394"
"VIES-RO 394: VAT Identif. Exchange","GUI","","","","","","/CEECV/ROFI_VIES394"
"Process VIES 390 Files - Romania","GUI","","","","","","/CEECV/ROFI_VIES_XML"
"Import Header Texts - Romania","GUI","","","","","","/CEECV/RO_RFM"
"Merge D205 Files - Romania","GUI","","","","","","/CEECV/RO_XML"
"Manage Providers of Information","GUI","SAP_SLL_BC_INTRASTAT_DECLN","SAP_SLL_BCG_INTRASTAT","Intrastat","SAP_BR_INTRASTAT_SPECIALIST","Intrastat Specialist","/ECRS/POI_EDIT"
"Manage Intrastat Declarations","GUI","SAP_SLL_BC_INTRASTAT_DECLN","SAP_SLL_BCG_INTRASTAT","Intrastat","SAP_BR_INTRASTAT_SPECIALIST","Intrastat Specialist","/ECRS/RP_EDIT"
"Manage Annex Updates - Israel","GUI","","","","","","/ILE/ANNXWGHT"
"Aannexing Principal Valuation - Israel","GUI","","","","","","/ILE/ANNX_VALUATION"
"Print Annexing Reference - Israel","GUI","","","","","","/ILE/BV98"
"Update Hashkal Basedate - Israel","GUI","","","","","","/ILE/HASHCAL_BCK"
"Display Purchase Order History - Israel","GUI","","","","","","/ILE/POHIST"
"Annexing loans remainig capital - Israel","GUI","","","","","","/ILE/REM_CAP_ANN_BAT"
"Upd. RE Table w/Index & Exch. Rate - Israel","GUI","","","","","","/ILE/RE_INDEX_UPDATE"
"Simulate Sales Orders - Israel","GUI","","","","","","/ILE/SIMSD"
"Define Annexing Packages - Israel","GUI","","","","","","/ILE/TANP"
